"Product Name,Launch Date,Total Cores,Max Turbo Frequency,Cache,Processor Graphics ‡"
"Intel® Core™ i5-13600H Processor,Q1'23,12,4.80 GHz,18 MB Intel® Smart Cache,Intel® Iris® Xe Graphics eligible"
"Intel® Core™ i5-13600HE Processor,Q1'23,12,4.80 GHz,18 MB Intel® Smart Cache,Intel® Iris® Xe Graphics eligible"
"Intel® Core™ i5-13600HX Processor,Q1'23,14,4.80 GHz,24 MB Intel® Smart Cache,Intel® UHD Graphics for 13th Gen Intel® Processors"
"Intel® Core™ i5-13600T Processor,Q1'23,14,5.3 GHz,24 MB Intel® Smart Cache,Intel® UHD Graphics 770"
"Intel® Core™ i7-1355U Processor,Q1'23,10,5.00 GHz,12 MB Intel® Smart Cache,Intel® Iris® Xe Graphics eligible"
"Intel® Core™ i7-1360P Processor,Q1'23,12,5.00 GHz,18 MB Intel® Smart Cache,Intel® Iris® Xe Graphics eligible"
"Intel® Core™ i7-13620H Processor,Q1'23,10,4.90 GHz,24 MB Intel® Smart Cache,Intel® UHD Graphics for 13th Gen Intel® Processors"
"Intel® Core™ i7-13650HX Processor,Q1'23,14,4.90 GHz,24 MB Intel® Smart Cache,Intel® UHD Graphics for 13th Gen Intel® Processors"
"Intel® Core™ i7-1365U Processor,Q1'23,10,5.20 GHz,12 MB Intel® Smart Cache,Intel® Iris® Xe Graphics eligible"
"Intel® Core™ i7-1365UE Processor,Q1'23,10,4.90 GHz,12 MB Intel® Smart Cache,Intel® Iris® Xe Graphics eligible"
"Intel® Core™ i7-13700 Processor,Q1'23,16,5.20 GHz,30 MB Intel® Smart Cache,Intel® UHD Graphics 770"
"Intel® Core™ i7-13700E Processor,Q1'23,16,5.10 GHz,30 MB Intel® Smart Cache,Intel® UHD Graphics 770"
"Intel® Core™ i7-13700F Processor,Q1'23,16,5.20 GHz,30 MB Intel® Smart Cache,"
