Product Name,Launch Date,# of Cores,Max Turbo Frequency,Processor Base Frequency,Cache,TDP,Processor Graphics ‡,Price
"Intel® Xeon® Bronze 3408U Processor (22.5M Cache, 1.80 GHz)",Q1'23,8,1.90 GHz,1.80 GHz,22.5 MB,125 W,,Get a quote
"Intel® Xeon® Bronze 3206R Processor (11M Cache, 1.90 GHz)",Q1'20,8,1.90 GHz,1.90 GHz,11 MB,85 W,,Get a quote
"Intel® Xeon® Bronze 3204 Processor (8.25M Cache, 1.90 GHz)",Q2'19,6,1.90 GHz,1.90 GHz,8.25 MB,85 W,,Get a quote
"Intel® Xeon® Bronze 3106 Processor (11M Cache, 1.70 GHz)",Q3'17,8,,1.70 GHz,11 MB L3 Cache,85 W,,Get a quote
"Intel® Xeon® Bronze 3104 Processor (8.25M Cache, 1.70 GHz)",Q3'17,6,,1.70 GHz,8.25 MB L3 Cache,85 W,,Get a quote
