Product Name,Launch Date,# of Cores,Max Turbo Frequency,Processor Base Frequency,Cache,TDP,Processor Graphics ‡,Price
"Intel® Xeon® Processor E5-2640 v4 (25M Cache, 2.40 GHz)",Q1'16,10,3.40 GHz,2.40 GHz,25 MB Intel® Smart Cache,90 W,,
"Intel® Xeon® Processor E5-2620 v4 (20M Cache, 2.10 GHz)",Q1'16,8,3.00 GHz,2.10 GHz,20 MB Intel® Smart Cache,85 W,,
"Intel® Xeon® Processor E5-2608L v4 (20M Cache, 1.60 GHz)",Q1'16,8,1.70 GHz,1.60 GHz,20 MB Intel® Smart Cache,50 W,,
"Intel® Xeon® Processor E5-2648L v4 (35M Cache, 1.80 GHz)",Q1'16,14,2.50 GHz,1.80 GHz,35 MB Intel® Smart Cache,75 W,,
"Intel® Xeon® Processor E5-2650 v4 (30M Cache, 2.20 GHz)",Q1'16,12,2.90 GHz,2.20 GHz,30 MB Intel® Smart Cache,105 W,,
"Intel® Xeon® Processor E5-2658 v4 (35M Cache, 2.30 GHz)",Q1'16,14,2.80 GHz,2.30 GHz,35 MB Intel® Smart Cache,105 W,,
"Intel® Xeon® Processor E5-2628L v4 (30M Cache, 1.90 GHz)",Q1'16,12,2.40 GHz,1.90 GHz,30 MB Intel® Smart Cache,75 W,,
"Intel® Xeon® Processor E3-1558L v5 (8M Cache, 1.90 GHz)",Q2'16,4,3.30 GHz,1.90 GHz,8 MB,45 W,,
"Intel® Xeon® Processor E3-1578L v5 (8M Cache, 2.00 GHz)",Q2'16,4,3.40 GHz,2.00 GHz,8 MB,45 W,Intel® Iris® Pro Graphics P580,
"Intel® Xeon® Processor E3-1515M v5 (8M Cache, 2.80 GHz)",Q1'16,4,3.70 GHz,2.80 GHz,8 MB Intel® Smart Cache,45 W,Intel® Iris® Pro Graphics P580,
